id,category,name,owner,contact,address,city,cityCode,phone,noRooms,noBeds,attribute
288,"**","Cobaneshof","-","-","Weinstrasse 37","Gobelsburg","3550","-",31,7,""
289,"**","Gasthof Maurer","-","-","40 Hauptstraße","Gloggnitz","2640","-",24,28,""
290,"*","Marienschlössl","-","-","Schloßstraße 5","Wiedendorf","3491","-",45,178,""
291,"***","Hotel Restaurant Holzinger","-","-","Teichgasse 2","Möllersdorf","2514","-",28,126,""
292,"*","Privatzimmer und Ferienwohnungen Leeb","-","-","Hagsdorf 19","Persenbeug","3680","-",23,116,""
293,"**","Hotel Thier","-","-","Mönichkirchen 243","Mönichkirchen","2872","-",6,26,""
294,"*","Gasthof Hueber","-","-","St.Georgen/Leys Nr. 18","Sankt","3282","-",6,6,""
295,"*","Pension Merkinger","-","-","Ramingdorfstraße 1","Behamberg","4441","-",49,46,""
296,"**","Mostlandhof","-","-","Schauboden 4","Purgstall","3251","-",87,428,""
297,"**","Gasthof zur Bruthenne","-","-","Maierhof 14","Weissenbach","2564","-",36,88,""
298,"****","Kammer und Koppel Engelbrecht","-","-","Am Anger 5","Höbersdorf","2011","-",30,7,""
299,"*","Gasthaus Buchegger","-","-","Tiefenbach 1","Krumbach","2851","-",33,149,""
300,"*","Pension Josef Kainrath","-","-","Alte Poststraße 15","Ybbsitz","3341","-",18,49,""
301,"***","Landgasthof Zur schönen Wienerin","-","-","Marktstraße 1","Marbach","3671","-",40,73,""
302,"**","Brauhotel Weitra","-","-","Rathausplatz 6","Weitra","3970","-",8,46,""
303,"**","Pension Hoheneich","-","-","Friedhofstrasse 364","Hoheneich","3945","-",14,57,""
304,"*","Gasthof Manhalter","-","-","Hauptlatz 26","Pitten","2823","-",9,11,""
305,"*","Haus Sundl - Privatzimmer","-","-","Rote-Kreuz-Str. 18","Emmersdorf","3644","-",25,104,""
306,"*","Stadt Pub","-","-","Kremser Strasse 1","Zwettl","3910","-",30,99,""
307,"*","Reiterbauernhof Schönlehenhof","-","-","Lehen 1","Mank","3240","-",16,6,""
308,"*","Dorfwirtshaus Rauch","-","-","Eschabruck 11","Eschabruck","3533","-",59,73,""
309,"*","Willi's Bauernhof","-","-","Aichau 1","Leiben","3652","-",42,110,""
310,"*","Althammerhof","-","-","Althammerhofstraße 36","Klamm","2641","-",33,127,""
311,"**","Wirtshaus Gruber Weitenegg","-","-","Weitenegg 10","Emmersdorf","3652","-",42,136,""
312,"**","Brandtner Komfortzimmer","-","-","Markt 46","Kaumberg","2572","-",8,42,""
313,"***","Berghof","-","-","Berggasse 13","Gaming","3292","-",28,10,""
314,"****","Hotel Schneeberghof","-","-","Wr. Neustädter Straße 24","Puchberg","2734","-",44,159,""
315,"*","Weingut - Gästezimmer zum Schwalbennest","-","-","Hauptstrasse 73","Herrnbaumgarten","2171","-",15,72,""
316,"***","Kupfer-Dachl","-","-","Eichbüchl 23","Katzelsdorf","2801","-",20,8,""
317,"**","Mohnhotel - Bergwirt Schrammel","-","-","Moidrams 1","Zwettl","3910","-",38,68,""
318,"*","Landgasthof Erber","-","-","Mankerstraße 10","Zelking","3393","-",36,69,""
319,"****","Schreiner's - Das Waldviertel Haus","-","-","Laimbach 5","Laimbach","3663","-",23,127,""
320,"**","Hubertushof","-","-","Anger 12","Trattenbach","2881","-",31,22,""
321,"**","Villa Nina","-","-","Grillparzerstraße 55","Perchtoldsdorf","2380","-",25,97,""
322,"*","Bildungswerkstatt Mold","-","-","Mold 72","Mold","3580","-",30,82,""
323,"*","Gasthaus Blunzenwirt","-","-","Semmeringstraße 32","Breitenstein","2673","-",7,9,""
324,"*","Hotel Geier","-","-","Hauptstraße 29","Bad","2853","-",22,27,""
325,"***","Frühstückspension Barbara","-","-","Wienerstraße 4","Pöchlarn","3380","-",42,88,""
326,"**","Gästehaus Apschner","-","-","Sankt Corona 107","Sankt","2880","-",52,356,""
327,"**","Gasthof Lechner zur Kartause","-","-","Aggsbach Dorf 38","Aggsbach","3642","-",66,73,""
328,"*","Pension Einsiedl","-","-","Johannesgasse 2","Ottenschlag","3631","-",36,142,""
329,"**","A-Sissy-Hof","-","-","Hanau 1","Bischofstetten","3232","-",59,266,""
330,"***","Landhotel Gafringwirt","-","-","Mittergafring 4","Euratsfeld","3324","-",19,9,""
331,"**","Wöllersdorferhof","-","-","Piestingerstrasse 1","Wöllersdorf","2752","-",57,144,""
332,"*","Weingut Familie Bauer","-","-","Hauptstraße 68","Großriedenthal","3471","-",6,6,""
333,"*","Motel Angern","-","-","Wiener Straße 5","Angern","2261","-",21,80,""
334,"**","Prinzenhof","-","-","Kottingnondorf 6","Grossgerungs","3920","-",39,131,""
335,"**","Sportcenter Tattendorf","-","-","Schulstrasse 14","Tattendorf","2523","-",6,26,""
336,"**","Familienbauernhof Strassbauer","-","-","Zehethof 7","Steinakirchen","3261","-",26,57,""
337,"*","Gästezimmer Rieder","-","-","Waltersdorf bei Staatz 103","Staatz","2134","-",5,50,""
338,"**","Burg Plankenstein","-","-","Plankenstein 1","Texing","3242","-",55,17,""
339,"*","MÖRWALD Hotel Villa Katharina","-","-","Kleine Zeile 13-17","Feuersbrunn","3483","-",35,64,""
340,"*","Waldblick Landhaus B&B","-","-","39 Brunnrotte","Schwarzenbach","3212","-",8,34,""
341,"*","Gästezimmer Wohlmuth","-","-","Seibweg 7","Spannberg","2244","-",57,186,""
342,"***","Gasthof Hotel Raymund","-","-","Pernersdorf 93","Pernersdorf","2052","-",19,37,""
343,"***","Haus der Pferde","-","-","Langschwarza 46","Schrems","3944","-",34,7,""
344,"**","Alter Winzerkeller","-","-","Roßplatz 1","Kirchberg","3470","-",5,32,""
345,"**","roo'n","-","-","Schönfeld 18","Arbesbach","3295","-",8,51,""
346,"***","Hotel Post Hönigwirt","-","-","Günserstr. 2","Kirchschlag","2860","-",44,126,""
347,"**","Straussenhof Halmer","-","-","Baumbach 1","Oberndorf","3281","-",7,18,""
348,"***","Moving Rooms","-","-","Bundesstraße 13","Wimpassing","2632","-",4,8,""
349,"*","Gasthof Christine Enne","-","-","Els 33","Albrechtsberg","3613","-",10,39,""
350,"*","Haus Bergblick","-","-","Nettinger Straße 302","Maiersdorf","2724","-",8,12,""
351,"**","Gästehaus Weinviertel - Niederösterreich","-","-","Siebenhirten","Siebenhirten","2130","-",8,41,""
352,"****","Retzerlandhof Familie Graf","-","-","Zellerndorf Nr. 174","Zellerndorf","2051","-",56,247,""
353,"*","Gästehaus Familie Grudl","-","-","Bärnkopf 16","Bärnkopf","3665","-",19,59,""
354,"*","Schloss Thalheim","-","-","Thalheim 22","Kapelln","3141","-",35,15,""
355,"*","Gästehaus Rita Schaefer","-","-","Bärnkopf 105","Bärnkopf","3665","-",19,47,""
356,"*","Privatzimmer Fam. Rauscher","-","-","Sportplatzgasse 13","Sierndorf","2264","-",54,65,""
357,"*","Wachahof","-","-","Kohlreuth 22","Edlitz","2842","-",12,51,""
358,"**","Gasthof Marchhart","-","-","5 Am Kirchenberg","Gerolding","3392","-",4,18,""
359,"***","Landgasthof Peilsteinblick","-","-","Stangles 41","Yspertal","3683","-",13,44,""
360,"*","Pension Oprescu","-","-","32 Raasdorfer Straße","Leopoldsdorf","2285","-",54,176,""
361,"**","Ferienhof Stanzl","-","-","Grünbach 9","Rappottenstein","3911","-",12,33,""
362,"**","Hotel Eldu","-","-","Hauptstrasse 18-20","Zistersdorf","2225","-",54,138,""
363,"**","Schloss Klafterbrunn","-","-","Rotheau 14","Eschenau","3153","-",8,20,""
364,"*","Land- und Seminarpension Gamerith","-","-","Mottingeramt 41","Mottingeramt","3532","-",54,131,""
365,"**","Naturlandhaus Stronegg","-","-","Stronegg 21","Stronegg","2153","-",2,1,""
366,"*","Ferienwohnung Wiesmüller","-","-","Ober Neustift 19","Oberneustift","3920","-",2,1,""
367,"****","Gesundheitsresort Königsberg","-","-","Am Kurpark 1","Bad","2853","-",13,18,""
368,"*","Mayr-Eichberg, Familie Berndl","-","-","Kirchweg 11","Wolfsbach","3354","-",48,179,""
369,"*","Weingut Bohrn Himmelbett","-","-","Hauptstraße 65","Herrnbaumgarten","2171","-",50,46,""
370,"***","Gasthof zum alten Jagdschloss","-","-","Mayerling 13","Mayerling","2534","-",5,1,""
371,"*","WIT - Wohnen In Tallesbrunn","-","-","Tallesbrunner Hauptstrasse 56","Tallesbrunn","2253","-",26,2,""
372,"*","Gästehaus Benvenuto","-","-","Hauptstraße 42","Sooss","2504","-",71,326,""
373,"**","Chalupub Gästehaus","-","-","Hauptstraße 64","Felixdorf","2603","-",31,126,""
374,"**","Grabner vulgo Vorderbichl","-","-","Kleindurlas 12","Michelbach","3074","-",42,37,""
375,"***","Voralpenhof Hofegger","-","-","43 Rosenbühelrotte","Frankenfels","3213","-",48,215,""
376,"*","Gölsenhof - Fam. Büchinger","-","-","Perschenegg 5","Wald","3144","-",40,170,""
377,"**","Weingut Stopfer","-","-","7 Minichhofen","Minichhofen","3720","-",16,47,""
378,"**","Hotel des Glücks - Landhotel Fischl","-","-","Untere Hauptstr. 4 (St. Oswald 11)","Sankt","3684","-",23,99,""
379,"*","Gasthof Prinz","-","-",".11 Krumau am Kamp","Krumau","3543","-",6,22,""
380,"****","Steinschalerhof","-","-","Warth 20","Warth","3203","-",41,29,""
381,"**","Rosenberger Seminar-Hotel Deutsch-Wagram","-","-","S 1 Ost","Deutsch-Wagram","2232","-",13,9,""
382,"***","Gasthof zur Kirche","-","-","Marktplatz 3","Kottes","3623","-",35,148,""
383,"**","OBENauf in Unternalb","-","-","Kirchfeldstraße 63","Unternalb","2070","-",66,466,""
384,"***","Hotel Restaurant Winterbach","-","-","Wohlfahrtschlag 34","Sankt","3283","-",18,6,""
385,"**","Haus YahweH Roi","-","-","Maria Langegg Nr.2 Nr.2","Maria","3642","-",16,7,""
386,"***","Hotel Restaurant Marienhof","-","-","Unterkirchbacher Straße 32","Unterkirchbach","3413","-",60,459,""
387,"***","Arion Airport Hotel","-","-","Mühlgasse 30","Schwechat","2320","-",70,419,""
388,"*","Orange Wings Wiener Neustadt","-","-","Rudolf-Diesel-Straße 32","Wiener","2700","-",19,102,""
389,"**","Gallien Alm - Holzhaus","-","-","Gallien 1","Mödring","3753","-",61,278,""
390,"*","Appartment mit Frühstück","-","-","Dornleiten 15","Hollenstein","3343","-",7,18,""
391,"****","LOISIUM Wine & Spa Resort Langenlois","-","-","Loisium-Allee 2","Langenlois","3550","-",29,60,""
392,"*","WinBudget Guntramsdorf","-","-","114 Neudorferstraße","Guntramsdorf","2353","-",41,106,""
393,"**","Living inStein","-","-","Kollmanngasse 1","Krems","3500","-",11,34,""
394,"***","Orange Wings Krems","-","-","Hofrat-Erben-Straße 4","Krems","3500","-",10,8,""
395,"*","WN Rooms","-","-","Leubleingasse 7","Wiener","2700","-",17,118,""
396,"**","Gästehaus Kleine Mühle","-","-","Reisperbachtalstr. 50","Krems","3500","-",45,95,""
397,"**","Hotel MUSE","-","-","42 Mariazellerstrasse","St.","3100","-",33,27,""
398,"***","Waldpension Mück","-","-","118 Wozniczakgasse","Gars","3571","-",10,9,""
399,"****","Cityhotel D&C St.Pölten","-","-","Völklplatz 1","St.","3100","-",12,23,""
400,"**","Hotel Schloss Dürnstein","-","-","Dürnstein 2","Dürnstein","3601","-",11,61,""
401,"****","Gartenhotel & Weingut Pfeffel Dürnstein","-","-","Zur Himmelsstiege 122","Dürnstein","3601","-",42,128,""
402,"***","Zum goldenen Engel - Fam. Ehrenreich","-","-","Wienerstraße 41","Krems","3500","-",32,114,""
403,"*","Arbeitergasse 7","-","-","7 Arbeitergasse Wohnung 10","Krems","3500","-",34,25,""
404,"*","Hotel Widhof","-","-","Kerschbaumergasse 11","Tulln","3430","-",19,51,""
405,"*","Zum Springbrunnen","-","-","14a Hauptplatz","Tulln","3430","-",7,3,""
406,"*","B&B Hotel Römerhof","-","-","Langenlebarner Straße 66","Tulln","3430","-",49,289,""
407,"****","Schlosshotel Rosenau Superior","-","-","Schloss Rosenau 1","Schloss","3924","-",61,47,""
408,"*","Hotel Lenau","-","-","10 Josef Wolfik Straße","Stockerau","2000","-",75,310,""
409,"**","Junges Hotel Melk","-","-","Abt-Karl-Straße 42","Melk","3390","-",35,57,""
410,"**","HDS Zimmervermietung","-","-","Wiener Straße 188","Klosterneuburg","3400","-",17,7,""
411,"*","Gästehaus auf der Kunstmeile","-","-","Steiner Landstrasse 22","Krems","3500","-",38,53,""
412,"***","Hotel Michael","-","-","Hauptstraße 24","Gerasdorf","2201","-",14,78,""
413,"***","Gasthof Hotel Zur goldenen Krone","-","-","Untere Landstraße 1","Furth","3511","-",39,56,""
414,"****","Grandhotel Niederösterreichischer Hof","-","-","Parkallee 1","Lanzenkirchen","2821","-",82,335,""
415,"*","Hilton Garden Inn Wiener Neustadt","-","-","Promenade 6","Wiener","2700","-",42,176,""
416,"***","Landgasthof Reinberger","-","-","11 Kreisbacher Straße","Wilhelmsburg","3150","-",37,69,""
417,"**","Stadthotel Hauser Eck","-","-","Schulgasse 2","St.","3100","-",29,29,""
418,"*","Gästezimmer Schmelz","-","-","Unterloiben 87","Dürnstein","3601","-",47,86,""
419,"**","Haus Regina","-","-","Maria Taferl 42","Maria","3672","-",66,226,""
420,"***","Hotel Mariandl","-","-","Kremserstraße 2","Spitz","3620","-",35,195,""
421,"****","Hotel Landhaus Moserhof","-","-","Wiener Straße 53","Gumpoldskirchen","2352","-",23,115,""
422,"****","Hotel Krainerhütte","-","-","Helenental 41","Baden","2500","-",18,75,""
423,"**","Klein Schöntal","-","-","Hochreith 1","Göstling","3345","-",26,62,""
424,"**","Gasthof zum Nibelungenbauer","-","-","Wienerstraße 13-15","Pöchlarn","3380","-",39,50,""
425,"**","Gasthof zum grünen Baum","-","-","Rathausplatz 2","Mautern","3512","-",25,114,""
426,"*","1-Luxus am Rande von Wien","-","-","Hauptplatz 5 Haus 3","Groß-Enzersdorf","2301","-",37,93,""
427,"*","Privatzimmer Jarosch","-","-","Romerweg 12","Tulln","3430","-",29,282,""
428,"*","Oldtimer Motorhotel Guntramsdorf","-","-","A2 Südautobahn/Oldtimerweg 1","Guntramsdorf","2353","-",55,202,""
429,"*","Pension Haus Nova","-","-","Wasshubergasse 11","Wiener","2700","-",26,70,""
430,"**","Haus Feuchtl","-","-","Berggasse 11","Purkersdorf","3002","-",58,182,""
431,"***","Hotel Stadt Melk","-","-","Hauptplatz 1","Melk","3390","-",27,160,""
432,"*","Weinlodge Siedler","-","-","Mauternbach 2","Mautern","3512","-",54,167,""
433,"**","Nemetz-Motel","-","-","Betriebsstraße 19","Böheimkirchen","3071","-",20,27,""
434,"*","Junges Hotel Tulln","-","-","Marc-Aurel-Park 1","Tulln","3430","-",46,90,""
435,"**","Donauwirt Hotel - Restaurant","-","-","Wachaustraße 47","Weißenkirchen","3610","-",27,77,""
436,"****","Hotel Sole-Felsen-Bad","-","-","Albrechtser Str. 14","Gmünd","3950","-",11,2,""
437,"****","JoSchi Sporthaus Hochkar","-","-","Lassing 51","Hochkar","3345","-",25,31,""
438,"****","HEINHOTEL Vienna Airport","-","-","Mannswörther Straße 94","Schwechat","2320","-",29,160,""
439,"**","Landgasthof Sengstbratl","-","-","Marktplatz 21","Wallsee","3313","-",43,199,""
440,"**","Höhenstein","-","-","Hamot 11","Lunz","3293","-",74,124,""
441,"**","Remserhof","-","-","Remser Dorfstrasse 17","Sankt","4300","-",5,19,""
442,"*","Zum schwarzen Adler","-","-","Rathausplatz 7","Tulln","3430","-",27,106,""
443,"****","Hotel Freizeittempel","-","-","Wiener Straße - Werkstraße 109","Wiener","2700","-",25,52,""
444,"****","Hotel Richard Löwenherz","-","-","Dürnstein 8","Dürnstein","3601","-",64,78,""
445,"**","Haus der Erholung Süd","-","-","Am Hundssteig 2","Krems","3500","-",52,201,""
446,"****","Hotel Restaurant Höldrichsmühle","-","-","Gaadnerstraße 34","Hinterbrühl","2371","-",21,157,""
447,"***","G&K Hotel","-","-","Klingerstraße 2","Guntramsdorf","2353","-",3,3,""
448,"*","Winzerhof Dürauer","-","-","Aignerstraße 11","Furth","3511","-",8,17,""
449,"**","Junges Hotel Lackenhof","-","-","Ötscherweg 3","Lackenhof","3295","-",13,77,""
450,"**","Haus der Erholung West","-","-","Am Hundssteig 2","Krems","3500","-",21,138,""
451,"***","Pension Margit","-","-","Mühlgasse 15","Baden","2500","-",73,234,""
452,"**","Gasthaus Transilvania","-","-","Untergrafendorf 39","Böheimkirchen","3071","-",64,175,""
453,"***","Motel Baden","-","-","Haidhofstraße 2 / Schützengasse 36","Baden","2500","-",2,11,""
454,"****","Panoramahotel Wagner Das Biohotel am Semmering","-","-","Hochstraße 62","Semmering","2680","-",3,2,""
455,"*","Pension Kirchenblick","-","-","Seilergasse 11","Tulln","3430","-",71,4,""
456,"**","FairSleep Avia Motel Gmünd","-","-","Prof.-Krejci-Graf-Straße 2","Gmünd","3950","-",21,11,""
457,"**","Pension Altes Rathaus","-","-","Altes Rathaus 26","Dürnstein","3601","-",17,62,""
458,"**","Schlaffass - Schlafen im Holzfass","-","-","Dumba Park 1","Tattendorf","2523","-",20,141,""
459,"*","La Petite Ivy","-","-","Trenninghof 1","Mühldorf","3622","-",32,64,""
460,"*","Hotel Andrea","-","-","15 Medekstraße","Klosterneuburg","3400","-",3,17,""
461,"***","Hotel Kerschbaumer","-","-","Westbahnstraße 24","Sankt","4300","-",16,3,""
462,"***","Hotel Restaurant Goldener Anker","-","-","Donaulände 27","Hainburg","2410","-",74,329,""
463,"**","Schmankerl und Gast","-","-","Obere Hauptstraße 38","Rohrendorf","3495","-",39,95,""
464,"*","Villa Kreuthhof Appartements","-","-","1 Reichergasse","Klosterneuburg","3400","-",25,29,""
465,"**","Sportpension Hochkar","-","-","Lassing 54","Hochkar","3345","-",14,21,""
466,"**","Pirates Hotel","-","-","1 Selbsthilfegasse","Hainburg","2410","-",30,131,""
467,"*","Frühstückspension Täuber","-","-","Gneixendorfer Hauptstraße 4","Krems","3500","-",85,116,""
468,"**","Volenter Gästehaus","-","-","Seestraße 61","Mitterbach","3224","-",7,13,""
469,"**","Stanglwirt","-","-","Strohmarkt 12","Göstling","3345","-",9,20,""
470,"***","Das Reinisch Guesthouse","-","-","Mannswörther Straße 76","Schwechat","2320","-",53,94,""
471,"***","Pension Gästehaus Heller","-","-","Kremser Straße 14","Weißenkirchen","3610","-",5,19,""
472,"*","Haus Wasserzeile","-","-","Wasserzeile 33","Klosterneuburg","3400","-",4,11,""
473,"*","Gasthof Prankl","-","-","Hinterhaus 16","Spitz","3620","-",15,120,""
474,"*","Frühstückspension Porranzl","-","-","Harland 6","Persenbeug","3681","-",59,141,""
475,"*","Hotel zur Sonne","-","-","Laaer Straße 12","Korneuburg","2100","-",10,28,""
476,"*","Pension Landhaus Semmering","-","-","Hochstraße 17","Semmering","2680","-",10,5,""
477,"*","Helenental Pension & Apartments","-","-","Karlsgasse 1-5","Baden","2500","-",24,124,""
478,"***","Alpenhotel Ensmann","-","-","Lassing 55","Göstling","3345","-",13,37,""
479,"****","Gartenlofts auf Gut Guntrams","-","-","Guntrams 11a","Schwarzau","2625","-",16,75,""
480,"*","Hotel Fabrik Vösendorf","-","-","Ortsstraße 8-10","Vösendorf","2331","-",26,107,""
481,"**","Wein-Gut Hutter","-","-","Weinzierlbergstraße 10","Krems","3500","-",4,13,""
482,"*","Frühstückspension Paradiesgartl","-","-","Haabergstraße 10","Amstetten","3300","-",47,252,""
483,"***","Belvedere","-","-","Hochstraße 6","Semmering","2680","-",25,65,""
484,"**","Pension Elisabeth","-","-","Mariazellerstraße 164","St.","3100","-",18,137,""
485,"****","RelaxResort Kothmühle","-","-","Kothmühle 1","Neuhofen","3364","-",47,261,""
486,"*","Vendégház Türnitzben","-","-","Unterer Markt 2.","Türnitz","3184","-",7,10,""
487,"***","Hotel-Pension Goldenberg","-","-","Kierlinger Straße 94b","Klosterneuburg","3400","-",20,29,""
488,"**","Wein + Bett Wiedeck","-","-","Am Kirchenweg 1a","Stetten","2100","-",107,175,""
489,"*","Gasthof zum Goldenen Pflug","-","-","Rathausstraße 12","Amstetten","3300","-",18,40,""
490,"***","Hotel Austria","-","-","Hauptstraße 27","Gablitz","3003","-",18,141,""
491,"***","Landhotel Zellerhof","-","-","Seestraße 5","Lunz","3293","-",13,17,""
492,"****","Hotel Wachau","-","-","Am Wachberg 3","Melk","3390","-",52,157,""
493,"*","Lugerfarm","-","-","Pöverding 8","Melk","3390","-",6,32,""
494,"*","Familie Stoier","-","-","Edlach 11","Reichenau","2651","-",13,24,""
495,"*","Weinhaus Nigl","-","-","Kirchenberg 1","Senftenberg","3541","-",62,32,""
496,"**","Leon's Silberwald","-","-","Bahngasse 35","Strasshof","2231","-",4,4,""
497,"*","Hotel Sonnenhof","-","-","Saaß 19","Litschau","3874","-",5,6,""
498,"*","Landgasthof zur Linde Laaben","-","-","Laaben 28","Laaben","3053","-",12,21,""
499,"***","Hotel Restaurant Osterbauer","-","-","Brevilliergasse 5","Neunkirchen","2620","-",7,33,""
500,"*","Pension Tennisweber","-","-","Wallhofgasse 5","Schwechat","2320","-",23,58,""
501,"****","City-Hotel Mödling","-","-","Wiener Straße 5","Mödling","2340","-",28,21,""
502,"*","Pension Marillenhof","-","-","Johann-Steinböckstrasse 2","Melk","3390","-",42,44,""
503,"**","Pension Casa Topolino","-","-","Dr. Eckener-Gasse 1","Wiener","2700","-",5,18,""
504,"**","Schlafgut","-","-","83 Mariazellerstrasse","St.","3100","-",84,59,""
505,"***","Gasthof Keller","-","-","Am Kanal 12","Gumpoldskirchen","2352","-",10,29,""
506,"**","SCHLOSS KRUMBACH","-","-","Schloss 1","Krumbach","2851","-",31,7,""
507,"****","Hotel Garni Weinquadrat","-","-","Landstraße 238","Weißenkirchen","3610","-",8,43,""
508,"*","Gasthaus Kleebinder","-","-","Pielachstraße 12","Haunoldstein","3384","-",35,75,""
509,"*","Bildungshaus St. Hippolyt","-","-","Eybnerstraße 5","St.","3100","-",29,98,""
510,"*","Gasthof s'Schatzkastl","-","-","Hafen 1","Ardagger","3321","-",10,26,""
511,"****","Landhotel Wachau","-","-","Luberegg 20","Emmersdorf","3644","-",30,56,""
512,"****","City Hotel Stockerau","-","-","Hauptstraße 49","Stockerau","2000","-",11,17,""
513,"**","Gasthof Gerhart","-","-","Elisabethstraße 69","Perchtoldsdorf","2380","-",26,21,""
514,"**","Haus zu den Zwei Eichen","-","-","Hochstraße 117","Perchtoldsdorf","2380","-",8,19,""
515,"***","Pension Sprinzl","-","-","Klederinger Straße 86","Schwechat","2320","-",49,127,""
516,"**","Gästehaus zur weißen Rose","-","-","Wiener Straße 41","Furth","3511","-",13,27,""
517,"***","Alpengasthof Enzian","-","-","Schwaig 148","Mönichkirchen","2872","-",43,127,""
518,"***","Landhaus am Kurpark","-","-","Welzergasse 29 (Mathias Welzergasse)","Baden","2500","-",58,21,""
519,"**","Gasthof Paradiesgartl","-","-","Kremser Straße 6","Kleinpöchlarn","3660","-",10,41,""
520,"****","Hotel Eisenhuthaus","-","-","Oberer Markt 10","Poysdorf","2170","-",29,226,""
521,"*","Familie Wissmann","-","-","Bahnstrasse 4","Poysdorf","2170","-",25,74,""
522,"***","Hotel Garni Zur Post","-","-","Wiener Straße 33","Gumpoldskirchen","2352","-",49,46,""
523,"***","Familienhotel Die Hochrieß","-","-","Hochrieß 5","Purgstall","3251","-",23,70,""
524,"***","Hotel - Restaurant Martinihof","-","-","Rathausplatz 4","Neudörfl","7201","-",32,169,""
525,"***","Landhaus Zierlinger","-","-","Oberer Markt 17","Senftenberg","3541","-",65,147,""
526,"*","Lassingbauer","-","-","Lassing 12","Lassing","3345","-",12,43,""
527,"*","Gasthof-Pension Schwarzer Bär","-","-","Ybbstorgasse","Waidhofen","3340","-",12,24,""
528,"**","College Garden Hotel","-","-","Johann-Strauß-Straße 2","Bad","2540","-",35,46,""
529,"*****","Gästehaus-Pension F&G Gritsch","-","-","Vießling 39","Spitz","3620","-",18,104,""
530,"***","Schlossgasthof Niederleitner","-","-","Schlossstraße 2","Artstetten","3661","-",2,5,""
531,"**","Kunsthaus Horn","-","-","Wiener Straße 2","Horn","3580","-",41,49,""
532,"***","Hotel Butter","-","-","Triester Straße 32","Vösendorf","2334","-",4,8,""
533,"**","Frühstückspension Doris Eder","-","-","Erlauftalstraße 40","Gaming","3292","-",6,42,""
534,"*","Gasthof Zur Linde","-","-","Marktplatz 1","Neuhofen","3364","-",6,27,""
535,"**","Privatzimmer zur Büffelweide","-","-","2 Forellenweg","Gmünd","3950","-",42,217,""
536,"*","BIO-Bauernhof Kurzeck","-","-","Königsberg 9","Göstling","3345","-",81,322,""
537,"*","Haberfellner","-","-","Weitental 31","Lackenhof","3295","-",62,83,""
538,"**","Pension Elfy","-","-","11 Karlsgasse","Baden","2500","-",52,268,""
539,"***","Hotel Krug","-","-","Schulgasse 1","Gumpoldskirchen","2352","-",17,64,""
540,"**","Weingut & Gästezimmer Edelmann","-","-","Rosenbergstraße 31","Göttlesbrunn","2464","-",14,35,""
541,"***","Gasthof Berghof","-","-","Carolusstraße 1","Semmering","2680","-",64,103,""
542,"****","Kuschelhotel Zeman","-","-","Schwechatbach 55","Alland","2534","-",60,43,""
543,"*","Bruckerhof","-","-","Schneebergstraße 23","Puchberg","2734","-",5,10,""
544,"*","Wohnen beim Bäcker Weinberger","-","-","Stauwerkstraße 85","Ybbs","3370","-",32,26,""
545,"*","Obermerkenbergerhof","-","-","Aigelsbach 22","Hofstetten","3202","-",44,83,""
546,"**","Reiterbauernhof Maho","-","-","Wällischgraben 4","Sankt","3193","-",6,22,""
547,"**","Cäsars Privatzimmer","-","-","Brünner Straße 28","Föhrenhain","2201","-",11,36,""
548,"***","Pension & Reitstall Inghofer","-","-","Pertholzer Strasse 34","Heidenreichstein","3860","-",5,33,""
549,"**","Gasthof Hinterleithner","-","-","Weinserstraße 95","Persenbeug","3681","-",6,34,""
550,"***","Hotel Rose","-","-","Maria Taferl 20","Maria","3672","-",15,7,""
551,"**","Lindenhof B&B","-","-","Stauwerkstraße 45","Ybbs","3370","-",22,8,""
552,"****","Landhotel Jagdhof","-","-","Hauptstraße 41","Guntramsdorf","2353","-",7,8,""
553,"*","Landzeit Autobahn-Restaurant Steinhäusl bei Wien","-","-","Kleinberg 2","Altlengbach","3033","-",22,84,""
554,"***","Hotel zur Linde","-","-","Westbahnstraße 32","Sankt","4300","-",6,17,""
555,"****","Hotel-Restaurant Kirchenwirt","-","-","Kremser Straße 17","Weißenkirchen","3610","-",22,98,""
556,"***","Hotel Stich","-","-","Wiener Strasse 15","Manhartsbrunn","2203","-",24,68,""
557,"*","Bed & Breakfast Feriendorf Herrensee","-","-","Buchenstraße 1","Litschau","3874","-",6,5,""
558,"***","Gasthof zur Post - Familie Luegmayer","-","-","Marktplatz 4","Neuhofen","3364","-",32,88,""
559,"****","Hotel Ur-Wachau","-","-","Obere Bachgasse 83","Weißenkirchen","3610","-",71,463,""
560,"****","Hotel Wiental","-","-","Hauptstraße 74 b","Pressbaum","3021","-",41,34,""
561,"*","Gästehaus Rabl","-","-","Weraingraben 10","Langenlois","3550","-",65,42,""
562,"*","Gasthof zur Venus","-","-","Willendorf  36","Aggsbach","3641","-",33,149,""
563,"**","Gasthof Mühlendorfer","-","-","Hauptstraße 186","Lanzenkirchen","2821","-",8,1,""
564,"**","Das gelbe Haus","-","-","Hocheichberg 24","Sankt","3051","-",59,502,""
565,"****","Hotel Garni, Pension Scheiblechner","-","-","48 Stixenlehen","Göstling","3345","-",5,25,""
566,"**","Privatzimmer Langthaler","-","-","Pöverding 10","Melk","3390","-",41,161,""
567,"*","Kaiserhof","-","-","Prein 25","Reichenau","2651","-",11,53,""
